cmd_idx_switch,log_idx_release,stack_peak_vx,release_step,fbA_residual_deg,window_cmd_len
861,2271,0.3489,0.349,14.12,25
6591,14530,0.35,0.35,2.99,1
6633,14655,0.35,0.35,7.47,1
8862,20602,0.2889,0.289,4.95,24
9921,23169,0.2118,0.212,4.48,18
10545,24696,0.2553,0.255,7.97,22
10814,25386,0.2789,0.279,8.15,22
11099,26015,0.2595,0.26,0.63,21
11681,27275,0.2637,0.264,2.45,17
12072,28132,0.0298,0.03,8.59,1
12078,28150,0.1022,0.102,2.84,1
12173,28399,0.152,0.012,2.87,13
12324,28761,0.237,0.016,6.76,16
