w,n,rmse_V,max_eV,mean_abs_eV,rmse_A,max_eA,mean_abs_eA,dataset,label
1,3167,0.03731451760201614,0.23399999999999999,0.015514998421218817,7.1500474803063145,39.23,1.87119040101042,baseline,基线（早期日志）
2,3222,0.041336111518335134,1.0,0.016381129733085042,7.217029237712788,39.23,1.8930384854127869,baseline,基线（早期日志）
3,2417,0.03548877927875097,0.236,0.013973934629706248,0.0035928490555490918,0.030000000000001137,0.0011336367397603569,baseline,基线（早期日志）
1,11207,0.03478475798223373,0.349,0.011301775675916836,10.689390512882229,104.68,2.381087713036495,bug,改进前 bug 复现
2,10399,0.036295350084196695,0.356,0.011938840273103182,11.148310151005047,104.47,2.5175622656024617,bug,改进前 bug 复现
3,10339,0.04139800310392228,0.349,0.012172647257955315,18.371791244231392,108.41,4.7815156204661955,bug,改进前 bug 复现
1,2773,0.029731622008853084,0.246,0.011897223223945185,12.673095068783732,90.0,2.9090082942661377,improved_v1,改进 v1（中间版本）
2,2716,0.03084866739136829,0.246,0.0130460235640648,12.978838188437726,89.99,3.0419882179676,improved_v1,改进 v1（中间版本）
3,2694,0.03045478715860646,0.246,0.01209539717891611,19.55638397922746,90.0,5.350586488492947,improved_v1,改进 v1（中间版本）
1,2134,0.030669650473533237,0.337,0.013854264292408623,14.154375936568238,90.01,3.6169119025304592,improved_final,改进 v2（最终版本）
2,1494,0.032591545458007444,0.356,0.015057563587684071,14.484067235462291,90.04,3.8093908969210175,improved_final,改进 v2（最终版本）
3,1504,0.03212953751380595,0.346,0.01406648936170213,20.057701219020323,108.41,5.763351063829787,improved_final,改进 v2（最终版本）
