idx,char_pos,cmdVx,cmdVy,cmdVw,ts
0,3,0.0,0.0,0.0062,2026-05-06 15:21:59.527
1,228,0.0,0.0,0.0072,2026-05-06 15:21:59.527
2,468,0.0,0.0,0.0149,2026-05-06 15:21:59.527
3,695,0.0,0.0,0.0166,2026-05-06 15:21:59.527
4,935,0.0,0.0,0.0323,2026-05-06 15:21:59.527
5,1165,0.0,0.0,0.0323,2026-05-06 15:21:59.527
6,1405,0.0,0.0,0.0616,2026-05-06 15:21:59.527
7,1635,0.0,0.0,0.0616,2026-05-06 15:21:59.527
8,1875,0.0,0.0,0.0973,2026-05-06 15:21:59.527
9,2103,0.0,0.0,0.1028,2026-05-06 15:21:59.527
10,2525,0.0,0.0,0.1345,2026-05-06 15:21:59.527
11,2753,0.0,0.0,0.1393,2026-05-06 15:21:59.527
12,2813,0.0,0.0,0.1666,2026-05-06 15:21:59.527
13,3042,0.0,0.0,0.1666,2026-05-06 15:21:59.527
14,3283,0.0,0.0,0.1836,2026-05-06 15:21:59.527
15,3512,0.0,0.0,0.1854,2026-05-06 15:21:59.527
16,3752,0.0,0.0,0.1935,2026-05-06 15:21:59.527
17,3980,0.0,0.0,0.1945,2026-05-06 15:21:59.527
18,4221,0.0,0.0,0.1997,2026-05-06 15:21:59.527
19,4450,0.0,0.0,0.1997,2026-05-06 15:21:59.527
20,4751,0.0,0.0,0.2,2026-05-06 15:21:59.527
21,4980,0.0,0.0,0.2,2026-05-06 15:21:59.527
22,5161,0.0,0.0,0.2,2026-05-06 15:21:59.527
23,5390,0.0,0.0,0.2,2026-05-06 15:21:59.527
24,5691,0.0,0.0,0.2,2026-05-06 15:21:59.527
25,5923,0.0,0.0,0.2,2026-05-06 15:21:59.527
26,6104,0.0,0.0,0.2,2026-05-06 15:21:59.527
27,6333,0.0,0.0,0.2,2026-05-06 15:21:59.527
28,6574,0.0,0.0,0.2,2026-05-06 15:21:59.527
29,6803,0.0,0.0,0.2,2026-05-06 15:21:59.527
30,7044,0.0,0.0,0.2,2026-05-06 15:21:59.527
31,7273,0.0,0.0,0.2,2026-05-06 15:21:59.527
32,7514,0.0,0.0,0.2,2026-05-06 15:21:59.527
33,7743,0.0,0.0,0.2,2026-05-06 15:21:59.527
34,7984,0.0,0.0,0.2,2026-05-06 15:21:59.527
35,8213,0.0,0.0,0.2,2026-05-06 15:21:59.527
36,8454,0.0,0.0,0.2,2026-05-06 15:21:59.527
37,8683,0.0,0.0,0.2,2026-05-06 15:21:59.527
38,9043,0.0,0.0,0.2,2026-05-06 15:21:59.527
39,9272,0.0,0.0,0.2,2026-05-06 15:21:59.527
40,9394,0.0,0.0,0.2,2026-05-06 15:21:59.527
41,9623,0.0,0.0,0.2,2026-05-06 15:21:59.527
42,9864,0.0,0.0,0.2,2026-05-06 15:21:59.527
43,10093,0.0,0.0,0.2,2026-05-06 15:21:59.527
44,10334,0.0,0.0,0.2,2026-05-06 15:21:59.527
45,10563,0.0,0.0,0.2,2026-05-06 15:21:59.527
46,10804,0.0,0.0,0.2,2026-05-06 15:21:59.527
47,11033,0.0,0.0,0.2,2026-05-06 15:21:59.527
48,11393,0.0,0.0,0.2,2026-05-06 15:21:59.527
49,11622,0.0,0.0,0.2,2026-05-06 15:21:59.527
50,11744,0.0,0.0,0.2,2026-05-06 15:21:59.527
51,11973,0.0,0.0,0.2,2026-05-06 15:21:59.527
52,12274,0.0,0.0,0.2,2026-05-06 15:21:59.527
53,12503,0.0,0.0,0.2,2026-05-06 15:21:59.527
54,12684,0.0,0.0,0.2,2026-05-06 15:21:59.527
55,12913,0.0,0.0,0.2,2026-05-06 15:21:59.527
56,13154,0.0,0.0,0.2,2026-05-06 15:21:59.527
57,13386,0.0,0.0,0.2,2026-05-06 15:21:59.527
58,13627,0.0,0.0,0.2,2026-05-06 15:21:59.527
59,13856,0.0,0.0,0.2,2026-05-06 15:21:59.527
60,14097,0.0,0.0,0.2,2026-05-06 15:21:59.527
61,14326,0.0,0.0,0.2,2026-05-06 15:22:00.241
62,14567,0.0,0.0,0.2,2026-05-06 15:22:00.241
63,14796,0.0,0.0,0.2,2026-05-06 15:22:00.241
64,15037,0.0,0.0,0.2,2026-05-06 15:22:00.241
65,15266,0.0,0.0,0.2,2026-05-06 15:22:00.241
66,15507,0.0,0.0,0.2,2026-05-06 15:22:00.241
67,15736,0.0,0.0,0.2,2026-05-06 15:22:00.241
68,15977,0.0,0.0,0.2,2026-05-06 15:22:00.241
69,16206,0.0,0.0,0.2,2026-05-06 15:22:00.241
70,16447,0.0,0.0,0.2,2026-05-06 15:22:00.241
71,16676,0.0,0.0,0.2,2026-05-06 15:22:00.241
72,16917,0.0,0.0,0.2,2026-05-06 15:22:00.241
73,17146,0.0,0.0,0.2,2026-05-06 15:22:00.241
74,17387,0.0,0.0,0.2,2026-05-06 15:22:00.241
75,17616,0.0,0.0,0.2,2026-05-06 15:22:00.241
76,17976,0.0,0.0,0.2,2026-05-06 15:22:00.241
77,18205,0.0,0.0,0.2,2026-05-06 15:22:00.241
78,18327,0.0,0.0,0.2,2026-05-06 15:22:00.241
79,18556,0.0,0.0,0.2,2026-05-06 15:22:00.241
80,18797,0.0,0.0,0.2,2026-05-06 15:22:00.241
81,19026,0.0,0.0,0.2,2026-05-06 15:22:00.241
82,19267,0.0,0.0,0.2,2026-05-06 15:22:00.241
83,19496,0.0,0.0,0.2,2026-05-06 15:22:00.241
84,19737,0.0,0.0,0.2,2026-05-06 15:22:00.241
85,19966,0.0,0.0,0.2,2026-05-06 15:22:00.241
86,20207,0.0,0.0,0.2,2026-05-06 15:22:00.241
87,20436,0.0,0.0,0.2,2026-05-06 15:22:00.241
88,20677,0.0,0.0,0.2,2026-05-06 15:22:00.241
89,20909,0.0,0.0,0.2,2026-05-06 15:22:00.241
90,21150,0.0,0.0,0.2,2026-05-06 15:22:00.241
91,21379,0.0,0.0,0.2,2026-05-06 15:22:00.241
92,21739,0.0,0.0,0.2,2026-05-06 15:22:00.241
93,21968,0.0,0.0,0.2,2026-05-06 15:22:00.241
94,22090,0.0,0.0,0.2,2026-05-06 15:22:00.241
95,22319,0.0,0.0,0.2,2026-05-06 15:22:00.950
96,22560,0.0,0.0,0.2,2026-05-06 15:22:00.950
97,22789,0.0,0.0,0.2,2026-05-06 15:22:00.950
98,23030,0.0,0.0,0.1995,2026-05-06 15:22:00.950
99,23259,0.0,0.0,0.1989,2026-05-06 15:22:00.950
100,23619,0.0,0.0,0.193,2026-05-06 15:22:00.950
101,23848,0.0,0.0,0.1914,2026-05-06 15:22:00.950
