idx,char_pos,cmdVx,cmdVy,cmdVw,ts
0,115,0.0,0.0,0.0,2026-05-06 18:23:44.985
1,339,0.0,0.0,0.0,2026-05-06 18:23:44.985
2,610,0.0,0.0,0.0,2026-05-06 18:23:44.985
3,833,0.0,0.0,0.0,2026-05-06 18:23:44.985
4,1081,0.0,0.0,0.0,2026-05-06 18:23:44.985
5,1149,0.0,0.0,0.0,2026-05-06 18:23:44.985
6,1484,0.0,0.0,0.0,2026-05-06 18:23:44.985
7,1723,0.0,0.0,0.0,2026-05-06 18:23:45.235
8,1943,0.0,0.0,0.0,2026-05-06 18:23:45.235
9,2181,0.0,0.0,0.0,2026-05-06 18:23:45.235
10,2399,0.0,0.0,0.0,2026-05-06 18:23:45.235
11,2525,0.0,0.0,0.0,2026-05-06 18:23:45.235
12,2857,0.0,0.0,0.0,2026-05-06 18:23:45.235
13,3095,0.0,0.0,0.0,2026-05-06 18:23:45.235
14,3314,0.0,0.0,0.0,2026-05-06 18:23:45.235
15,3553,0.0,0.0,0.0,2026-05-06 18:23:45.235
16,3772,0.0,0.0,0.0,2026-05-06 18:23:45.235
17,4013,0.0,0.0,0.0,2026-05-06 18:23:45.235
18,4232,0.0,0.0,0.0,2026-05-06 18:23:45.235
19,4361,0.0,0.0,0.0,2026-05-06 18:23:45.269
20,4693,0.0,0.0,0.0,2026-05-06 18:23:45.269
21,4818,0.0,0.0,0.0,2026-05-06 18:23:45.406
22,5150,0.0,0.0,0.0,2026-05-06 18:23:45.406
23,5389,0.0,0.0,0.0,2026-05-06 18:23:45.406
24,5608,0.0,0.0,0.0,2026-05-06 18:23:45.406
25,5738,0.0,0.0,0.0,2026-05-06 18:23:45.406
26,6180,0.0,0.0,0.0,2026-05-06 18:23:45.406
27,6338,0.0,0.0,0.0,2026-05-06 18:23:45.444
28,6557,0.0,0.0,0.0,2026-05-06 18:23:45.444
29,6798,0.0,0.0,0.0,2026-05-06 18:23:45.502
30,7017,0.0,0.0,0.0,2026-05-06 18:23:45.502
31,7256,0.0,0.0,0.0,2026-05-06 18:23:45.502
32,7475,0.0,0.0,0.0,2026-05-06 18:23:45.673
33,7713,0.0,0.0,0.0016,2026-05-06 18:23:45.673
34,7937,0.0,0.0,0.0016,2026-05-06 18:23:45.673
35,8175,0.0,0.0,0.0072,2026-05-06 18:23:45.673
36,8534,0.0,0.0,0.0166,2026-05-06 18:23:45.673
37,8873,0.0,0.0,0.0184,2026-05-06 18:23:45.673
38,9343,0.0,0.0,0.0352,2026-05-06 18:23:45.673
39,9580,0.0,0.0,0.0616,2026-05-06 18:23:45.733
40,9938,0.0,0.0,0.0973,2026-05-06 18:23:45.733
41,10280,0.0,0.0,0.1028,2026-05-06 18:23:45.906
42,10517,0.0,0.0,0.1393,2026-05-06 18:23:45.906
43,10746,0.0,0.0,0.1393,2026-05-06 18:23:45.906
44,10987,0.0,0.0,0.1666,2026-05-06 18:23:45.906
45,11344,0.0,0.0,0.1836,2026-05-06 18:23:45.906
46,11685,0.0,0.0,0.1854,2026-05-06 18:23:45.906
47,11923,0.0,0.0,0.1945,2026-05-06 18:23:45.906
48,12152,0.0,0.0,0.1945,2026-05-06 18:23:46.120
49,12509,0.0,0.0,0.2,2026-05-06 18:23:46.120
50,12751,0.0,0.0,0.2,2026-05-06 18:23:46.120
51,12980,0.0,0.0,0.2,2026-05-06 18:23:46.120
52,13337,0.0,0.0,0.2,2026-05-06 18:23:46.120
53,13566,0.0,0.0,0.2,2026-05-06 18:23:46.120
54,13807,0.0,0.0,0.2,2026-05-06 18:23:46.120
55,14286,0.0,0.0,0.2,2026-05-06 18:23:46.120
56,14873,0.0,0.0,0.2,2026-05-06 18:23:46.166
57,15347,0.0,0.0,0.2,2026-05-06 18:23:46.203
58,15705,0.0,0.0,0.2,2026-05-06 18:23:46.353
59,15934,0.0,0.0,0.2,2026-05-06 18:23:46.353
60,16291,0.0,0.0,0.2,2026-05-06 18:23:46.353
61,16649,0.0,0.0,0.2,2026-05-06 18:23:46.353
62,16878,0.0,0.0,0.2,2026-05-06 18:23:46.353
63,17116,0.0,0.0,0.2,2026-05-06 18:23:46.353
64,17473,0.0,0.0,0.2,2026-05-06 18:23:46.460
65,17815,0.0,0.0,0.2,2026-05-06 18:23:46.460
66,18053,0.0,0.0,0.2,2026-05-06 18:23:46.460
67,18282,0.0,0.0,0.2,2026-05-06 18:23:46.619
68,18523,0.0,0.0,0.2,2026-05-06 18:23:46.619
69,18994,0.0,0.0,0.2,2026-05-06 18:23:46.619
70,19223,0.0,0.0,0.2,2026-05-06 18:23:46.619
71,19461,0.0,0.0,0.2,2026-05-06 18:23:46.619
72,19690,0.0,0.0,0.2,2026-05-06 18:23:46.619
73,19928,0.0,0.0,0.2,2026-05-06 18:23:46.619
74,20401,0.0,0.0,0.2,2026-05-06 18:23:46.778
75,20630,0.0,0.0,0.2,2026-05-06 18:23:46.778
76,20868,0.0,0.0,0.2,2026-05-06 18:23:46.778
77,21226,0.0,0.0,0.2,2026-05-06 18:23:46.778
78,21568,0.0,0.0,0.2,2026-05-06 18:23:46.778
79,21806,0.0,0.0,0.2,2026-05-06 18:23:46.778
80,22035,0.0,0.0,0.2,2026-05-06 18:23:46.778
81,22273,0.0,0.0,0.2,2026-05-06 18:23:47.235
82,22630,0.0,0.0,0.2,2026-05-06 18:23:47.235
83,22972,0.0,0.0,0.2,2026-05-06 18:23:47.235
84,23210,0.0,0.0,0.2,2026-05-06 18:23:47.235
85,23439,0.0,0.0,0.2,2026-05-06 18:23:47.235
86,23563,0.0,0.0,0.2,2026-05-06 18:23:47.235
87,23905,0.0,0.0,0.2,2026-05-06 18:23:47.235
88,24144,0.0,0.0,0.2,2026-05-06 18:23:47.235
89,24373,0.0,0.0,0.2,2026-05-06 18:23:47.235
90,24611,0.0,0.0,0.2,2026-05-06 18:23:47.235
91,25091,0.0,0.0,0.2,2026-05-06 18:23:47.235
92,25559,0.0,0.0,0.2,2026-05-06 18:23:47.235
93,25788,0.0,0.0,0.2,2026-05-06 18:23:47.235
94,26026,0.0,0.0,0.2,2026-05-06 18:23:47.235
95,26505,0.0,0.0,0.2,2026-05-06 18:23:47.235
96,26973,0.0,0.0,0.2,2026-05-06 18:23:47.235
97,27202,0.0,0.0,0.2,2026-05-06 18:23:47.235
98,27329,0.0,0.0,0.2,2026-05-06 18:23:47.235
99,27671,0.0,0.0,0.2,2026-05-06 18:23:47.360
100,27909,0.0,0.0,0.2,2026-05-06 18:23:47.360
101,28138,0.0,0.0,0.2,2026-05-06 18:23:47.360
102,28436,0.0,0.0,0.2,2026-05-06 18:23:47.360
103,28667,0.0,0.0,0.2,2026-05-06 18:23:47.360
104,28729,0.0,0.0,0.2,2026-05-06 18:23:47.360
105,28958,0.0,0.0,0.2,2026-05-06 18:23:47.635
106,29317,0.0,0.0,0.2,2026-05-06 18:23:47.635
107,29787,0.0,0.0,0.2,2026-05-06 18:23:47.635
108,30257,0.0,0.0,0.2,2026-05-06 18:23:47.635
109,30486,0.0,0.0,0.2,2026-05-06 18:23:47.635
110,30724,0.0,0.0,0.2,2026-05-06 18:23:47.635
111,31198,0.0,0.0,0.2,2026-05-06 18:23:47.635
112,31427,0.0,0.0,0.2,2026-05-06 18:23:47.635
113,32029,0.0,0.0,0.2,2026-05-06 18:23:47.668
114,32371,0.0,0.0,0.2,2026-05-06 18:23:47.820
115,32612,0.0,0.0,0.2,2026-05-06 18:23:47.820
116,32841,0.0,0.0,0.2,2026-05-06 18:23:47.820
117,33079,0.0,0.0,0.2,2026-05-06 18:23:47.820
118,33556,0.0,0.0,0.2,2026-05-06 18:23:47.820
119,34023,0.0,0.0,0.2,2026-05-06 18:23:47.820
120,34252,0.0,0.0,0.2,2026-05-06 18:23:47.886
121,34550,0.0,0.0,0.2,2026-05-06 18:23:47.886
122,34781,0.0,0.0,0.2,2026-05-06 18:23:47.886
123,34842,0.0,0.0,0.2,2026-05-06 18:23:47.886
124,35071,0.0,0.0,0.2,2026-05-06 18:23:47.961
125,35426,0.0,0.0,0.2,2026-05-06 18:23:47.961
126,35655,0.0,0.0,0.2,2026-05-06 18:23:47.961
127,35780,0.0,0.0,0.2,2026-05-06 18:23:48.619
128,36122,0.0,0.0,0.2,2026-05-06 18:23:48.619
129,36360,0.0,0.0,0.2,2026-05-06 18:23:48.619
130,36589,0.0,0.0,0.2,2026-05-06 18:23:48.619
131,36714,0.0,0.0,0.2,2026-05-06 18:23:48.619
132,37056,0.0,0.0,0.1995,2026-05-06 18:23:48.619
133,37294,0.0,0.0,0.193,2026-05-06 18:23:48.619
134,37523,0.0,0.0,0.193,2026-05-06 18:23:48.619
135,37821,0.0,0.0,0.175,2026-05-06 18:23:48.619
136,38052,0.0,0.0,0.1706,2026-05-06 18:23:48.619
137,38296,0.0,0.0,0.1299,2026-05-06 18:23:48.619
138,38527,0.0,0.0,0.1205,2026-05-06 18:23:48.619
139,38816,0.0,0.0,0.0513,2026-05-06 18:23:48.619
140,39290,0.0,0.0,0.0143,2026-05-06 18:23:48.619
141,39653,0.0027,0.0,0.0021,2026-05-06 18:23:48.619
142,40119,0.0086,0.0,0.0,2026-05-06 18:23:48.619
143,40342,0.0086,0.0,0.0,2026-05-06 18:23:48.619
144,40584,0.0169,0.0,0.0,2026-05-06 18:23:48.619
145,40807,0.0169,0.0,0.0,2026-05-06 18:23:48.619
146,41045,0.0269,0.0,0.0,2026-05-06 18:23:48.619
147,41513,0.0404,0.0,0.0,2026-05-06 18:23:48.619
148,41737,0.0404,0.0,0.0,2026-05-06 18:23:48.619
149,41975,0.0614,0.0,0.0,2026-05-06 18:23:48.619
150,42199,0.0614,0.0,0.0,2026-05-06 18:23:48.619
151,42437,0.0858,0.0,0.0,2026-05-06 18:23:48.619
152,42794,0.1163,0.0,0.0,2026-05-06 18:23:48.619
153,43127,0.1211,0.0,0.0,2026-05-06 18:23:48.719
154,43368,0.01,0.0,0.0,2026-05-06 18:23:48.719
155,43588,0.01,0.0,0.0,2026-05-06 18:23:48.719
156,43827,0.035,0.0,0.0,2026-05-06 18:23:48.719
157,44160,0.005,0.0,0.0,2026-05-06 18:23:48.719
158,44433,0.015,0.0,0.0,2026-05-06 18:23:48.911
159,44784,0.05,0.0,0.0,2026-05-06 18:23:48.911
160,45003,0.05,0.0,0.0,2026-05-06 18:23:48.911
161,45241,0.09,0.0,0.0,2026-05-06 18:23:48.911
162,45460,0.09,0.0,0.0,2026-05-06 18:23:48.911
163,45699,0.125,0.0,0.0,2026-05-06 18:23:48.911
