idx,char_pos,cmdVx,cmdVy,cmdVw,ts
0,102,-0.001,0.0,0.0,2026-05-06 16:03:25.535
1,343,-0.0061,0.0,0.0,2026-05-06 16:03:25.535
2,567,-0.0069,0.0,0.0,2026-05-06 16:03:25.535
3,807,-0.0134,0.0,0.0,2026-05-06 16:03:25.535
4,1032,-0.0145,0.0,0.0,2026-05-06 16:03:25.535
5,1271,-0.0222,0.0,0.0,2026-05-06 16:03:25.535
6,1496,-0.0237,0.0,0.0,2026-05-06 16:03:25.535
7,1736,-0.0361,0.0,0.0,2026-05-06 16:03:25.535
8,1960,-0.0382,0.0,0.0,2026-05-06 16:03:25.535
9,2200,-0.0555,0.0,0.0,2026-05-06 16:03:25.535
10,2425,-0.0584,0.0,0.0,2026-05-06 16:03:25.535
11,2665,-0.082,0.0,0.0,2026-05-06 16:03:25.535
12,2890,-0.082,0.0,0.0,2026-05-06 16:03:25.535
13,3130,-0.1116,0.0,0.0,2026-05-06 16:03:25.535
14,3355,-0.1163,0.0,0.0,2026-05-06 16:03:25.535
15,3595,-0.1466,0.0,0.0,2026-05-06 16:03:25.535
16,3820,-0.152,0.0,0.0,2026-05-06 16:03:25.535
17,4060,-0.1902,0.0,0.0,2026-05-06 16:03:25.535
18,4285,-0.1902,0.0,0.0,2026-05-06 16:03:25.535
19,4525,-0.2322,0.0,0.0,2026-05-06 16:03:25.535
20,4750,-0.2322,0.0,0.0,2026-05-06 16:03:25.535
21,4991,-0.2637,0.0,0.0,2026-05-06 16:03:25.535
22,5216,-0.2677,0.0,0.0,2026-05-06 16:03:25.535
23,5514,-0.2889,0.0,0.0,2026-05-06 16:03:25.535
24,5738,-0.2921,0.0,0.0,2026-05-06 16:03:25.535
25,5921,-0.3106,0.0,0.0,2026-05-06 16:03:25.535
26,6145,-0.3106,0.0,0.0,2026-05-06 16:03:25.535
27,6385,-0.3244,0.0,0.0,2026-05-06 16:03:25.535
28,6609,-0.326,0.0,0.0,2026-05-06 16:03:25.535
29,6849,-0.3344,0.0,0.0,2026-05-06 16:03:25.535
30,7076,-0.3356,0.0,0.0,2026-05-06 16:03:25.535
31,7316,-0.3426,0.0,0.0,2026-05-06 16:03:25.535
32,7544,-0.3426,0.0,0.0,2026-05-06 16:03:25.535
33,7784,-0.3483,0.0,0.0,2026-05-06 16:03:25.535
34,8009,-0.3483,0.0,0.0,2026-05-06 16:03:25.646
35,8252,-0.3437,0.0,0.0,2026-05-06 16:03:25.646
36,8478,-0.3428,0.0,0.0,2026-05-06 16:03:25.646
37,8719,-0.3353,0.0,0.0,2026-05-06 16:03:25.646
38,8944,-0.3353,0.0,0.0,2026-05-06 16:03:26.293
39,9184,-0.3169,0.0,0.0,2026-05-06 16:03:26.293
40,9410,-0.3169,0.0,0.0,2026-05-06 16:03:26.293
41,9649,-0.2872,0.0,0.0,2026-05-06 16:03:26.293
42,9874,-0.2814,0.0,0.0,2026-05-06 16:03:26.293
43,10114,-0.2375,0.0,0.0,2026-05-06 16:03:26.293
44,10340,-0.2286,0.0,0.0,2026-05-06 16:03:26.293
45,10580,-0.1579,0.0,0.0,2026-05-06 16:03:26.293
46,10805,-0.1579,0.0,0.0,2026-05-06 16:03:26.293
47,11045,-0.0836,0.0,0.0,2026-05-06 16:03:26.293
48,11270,-0.0836,0.0,0.0,2026-05-06 16:03:26.293
49,11510,-0.0421,0.0,0.0,2026-05-06 16:03:26.293
50,11735,-0.0379,0.0,0.0,2026-05-06 16:03:26.293
51,11975,-0.0193,0.0,0.0,2026-05-06 16:03:26.293
52,12201,-0.0193,0.0,0.0,2026-05-06 16:03:26.293
53,12442,-0.0061,0.0,0.0,2026-05-06 16:03:26.293
54,12669,-0.0061,0.0,0.0,2026-05-06 16:03:26.293
55,12909,0.0,0.0,0.0,2026-05-06 16:03:26.293
56,13130,0.0,0.0,0.0,2026-05-06 16:03:26.293
57,13351,0.0,0.0,0.0,2026-05-06 16:03:26.293
58,13396,-0.0021,0.0,0.0,2026-05-06 16:03:26.293
59,13619,-0.0021,0.0,0.0,2026-05-06 16:03:26.293
60,13859,-0.0069,0.0,0.0,2026-05-06 16:03:26.293
61,14081,-0.0077,0.0,0.0,2026-05-06 16:03:26.293
62,14320,-0.0134,0.0,0.0,2026-05-06 16:03:26.293
63,14542,-0.0145,0.0,0.0,2026-05-06 16:03:26.293
64,14782,-0.0237,0.0,0.0,2026-05-06 16:03:26.293
65,15008,-0.0253,0.0,0.0,2026-05-06 16:03:26.293
66,15248,-0.0382,0.0,0.0,2026-05-06 16:03:26.293
67,15473,-0.0382,0.0,0.0,2026-05-06 16:03:26.293
68,15713,-0.0584,0.0,0.0,2026-05-06 16:03:26.293
69,15938,-0.0584,0.0,0.0,2026-05-06 16:03:26.293
70,16178,-0.082,0.0,0.0,2026-05-06 16:03:26.969
71,16403,-0.0858,0.0,0.0,2026-05-06 16:03:26.969
72,16701,-0.1163,0.0,0.0,2026-05-06 16:03:26.969
73,16926,-0.1211,0.0,0.0,2026-05-06 16:03:26.969
74,17108,-0.152,0.0,0.0,2026-05-06 16:03:26.969
75,17334,-0.152,0.0,0.0,2026-05-06 16:03:26.969
76,17574,-0.1957,0.0,0.0,2026-05-06 16:03:26.969
77,17799,-0.1957,0.0,0.0,2026-05-06 16:03:26.969
78,18040,-0.2322,0.0,0.0,2026-05-06 16:03:26.969
79,18265,-0.237,0.0,0.0,2026-05-06 16:03:26.969
80,18505,-0.2637,0.0,0.0,2026-05-06 16:03:26.969
81,18731,-0.2677,0.0,0.0,2026-05-06 16:03:26.969
82,18971,-0.2921,0.0,0.0,2026-05-06 16:03:26.969
83,19195,-0.2921,0.0,0.0,2026-05-06 16:03:26.969
84,19435,-0.3106,0.0,0.0,2026-05-06 16:03:26.969
85,19660,-0.3128,0.0,0.0,2026-05-06 16:03:26.969
86,19900,-0.3244,0.0,0.0,2026-05-06 16:03:26.969
87,20125,-0.326,0.0,0.0,2026-05-06 16:03:26.969
88,20365,-0.3356,0.0,0.0,2026-05-06 16:03:26.969
89,20589,-0.3356,0.0,0.0,2026-05-06 16:03:26.969
90,20829,-0.3435,0.0,0.0,2026-05-06 16:03:26.969
91,21053,-0.3435,0.0,0.0,2026-05-06 16:03:26.969
92,21293,-0.3483,0.0,0.0,2026-05-06 16:03:26.969
93,21518,-0.3489,0.0,0.0,2026-05-06 16:03:26.969
94,21817,-0.35,0.0,0.0,2026-05-06 16:03:26.969
95,22041,-0.35,0.0,0.0,2026-05-06 16:03:26.969
96,22222,-0.35,0.0,0.0,2026-05-06 16:03:26.969
97,22450,-0.35,0.0,0.0,2026-05-06 16:03:26.969
98,22690,-0.35,0.0,0.0,2026-05-06 16:03:26.969
99,22916,-0.35,0.0,0.0,2026-05-06 16:03:26.969
100,23156,-0.35,0.0,0.0,2026-05-06 16:03:26.969
101,23381,-0.35,0.0,0.0,2026-05-06 16:03:26.969
102,23621,-0.35,0.0,0.0,2026-05-06 16:03:26.969
103,23847,-0.35,0.0,0.0,2026-05-06 16:03:26.969
104,24088,-0.35,0.0,0.0,2026-05-06 16:03:27.237
105,24315,-0.35,0.0,0.0,2026-05-06 16:03:27.237
106,24555,-0.35,0.0,0.0,2026-05-06 16:03:27.237
107,24780,-0.35,0.0,0.0,2026-05-06 16:03:27.237
108,25023,-0.35,0.0,0.0,2026-05-06 16:03:27.237
109,25249,-0.35,0.0,0.0,2026-05-06 16:03:27.237
110,25493,-0.35,0.0,0.0,2026-05-06 16:03:27.237
111,25721,-0.35,0.0,0.0,2026-05-06 16:03:27.237
112,25961,-0.35,0.0,0.0,2026-05-06 16:03:27.237
113,26187,-0.35,0.0,0.0,2026-05-06 16:03:27.237
114,26489,-0.35,0.0,0.0,2026-05-06 16:03:27.237
115,26714,-0.35,0.0,0.0,2026-05-06 16:03:27.237
116,26893,-0.35,0.0,0.0,2026-05-06 16:03:27.299
117,27118,-0.35,0.0,0.0,2026-05-06 16:03:27.299
