idx,char_pos,w,cmdA,cmdV,fbA,fbV,ts
0,1,1,-0.01,0.0,-0.01,0.0,2026-05-06 06:27:32.141
1,60,2,0.0,0.0,0.0,0.0,2026-05-06 06:27:32.141
2,117,3,-0.0,0.0,0.0,0.0,2026-05-06 06:27:32.141
3,176,1,0.0,0.001,-0.01,0.0,2026-05-06 06:27:32.141
4,234,2,0.0,0.001,0.0,0.0,2026-05-06 06:27:32.141
5,291,3,0.0,0.001,-0.01,0.0,2026-05-06 06:27:32.141
6,348,1,-0.01,0.0,-0.01,0.0,2026-05-06 06:27:32.141
7,407,2,0.0,0.0,0.0,0.0,2026-05-06 06:27:32.141
8,479,1,0.0,0.003,-0.0,0.0,2026-05-06 06:27:32.141
9,537,2,0.0,0.003,0.0,0.0,2026-05-06 06:27:32.141
10,594,3,0.0,0.003,-0.01,0.0,2026-05-06 06:27:32.141
11,652,1,0.0,0.003,-0.01,-0.0,2026-05-06 06:27:32.141
12,711,2,0.0,0.003,0.0,0.0,2026-05-06 06:27:32.141
13,768,3,0.0,0.003,0.0,0.0,2026-05-06 06:27:32.141
14,825,1,0.0,0.004,-0.01,-0.0,2026-05-06 06:27:32.141
15,884,2,0.0,0.004,0.0,0.0,2026-05-06 06:27:32.141
16,952,1,0.0,0.009,-0.0,0.001,2026-05-06 06:27:32.141
17,1010,2,0.0,0.009,0.0,0.0,2026-05-06 06:27:32.141
18,1067,3,0.0,0.009,0.0,0.001,2026-05-06 06:27:32.141
19,1124,1,0.0,0.009,-0.0,0.001,2026-05-06 06:27:32.141
20,1182,2,0.0,0.009,0.0,0.0,2026-05-06 06:27:32.141
21,1239,3,0.0,0.009,0.0,0.001,2026-05-06 06:27:32.141
22,1296,1,0.0,0.01,-0.0,0.001,2026-05-06 06:27:32.141
23,1354,2,0.0,0.01,0.0,0.001,2026-05-06 06:27:32.141
24,1422,1,0.0,0.018,-0.0,0.003,2026-05-06 06:27:32.141
25,1480,2,0.0,0.018,0.0,0.003,2026-05-06 06:27:32.141
26,1537,3,0.0,0.018,-0.0,0.004,2026-05-06 06:27:32.141
27,1595,1,0.0,0.018,-0.0,0.003,2026-05-06 06:27:32.141
28,1653,2,0.0,0.018,0.0,0.004,2026-05-06 06:27:32.141
29,1710,3,0.0,0.018,-0.0,0.003,2026-05-06 06:27:32.141
30,1768,1,0.0,0.019,-0.0,0.005,2026-05-06 06:27:32.141
31,1826,2,0.0,0.019,0.0,0.004,2026-05-06 06:27:32.141
32,1894,1,0.0,0.03,0.0,0.009,2026-05-06 06:27:32.141
33,1951,2,0.0,0.03,0.0,0.008,2026-05-06 06:27:32.141
34,2068,1,0.0,0.032,0.0,0.009,2026-05-06 06:27:32.141
35,2125,2,0.0,0.032,0.0,0.008,2026-05-06 06:27:32.141
36,2182,3,0.0,0.032,0.0,0.008,2026-05-06 06:27:32.141
37,2239,1,0.0,0.034,0.0,0.009,2026-05-06 06:27:32.141
38,2296,2,0.0,0.034,0.0,0.008,2026-05-06 06:27:32.141
39,2366,1,0.0,0.05,0.0,0.018,2026-05-06 06:27:32.141
40,2423,2,0.0,0.05,-0.0,0.02,2026-05-06 06:27:32.141
41,2481,3,0.0,0.05,0.0,0.018,2026-05-06 06:27:32.141
42,2538,1,0.0,0.05,0.0,0.02,2026-05-06 06:27:32.141
43,2595,2,0.0,0.05,0.0,0.02,2026-05-06 06:27:32.141
44,2652,3,0.0,0.05,-0.0,0.019,2026-05-06 06:27:32.141
45,2710,1,0.0,0.053,0.0,0.02,2026-05-06 06:27:32.141
46,2767,2,0.0,0.053,0.0,0.02,2026-05-06 06:27:32.141
47,2836,1,0.0,0.075,0.0,0.035,2026-05-06 06:27:32.141
48,2893,2,0.0,0.075,0.0,0.036,2026-05-06 06:27:32.141
49,2950,3,0.0,0.075,0.0,0.034,2026-05-06 06:27:32.141
50,3007,1,0.0,0.078,0.0,0.035,2026-05-06 06:27:32.141
51,3064,2,0.0,0.078,-0.0,0.036,2026-05-06 06:27:32.141
52,3122,3,0.0,0.078,0.01,0.034,2026-05-06 06:27:32.141
53,3179,1,0.0,0.082,0.0,0.035,2026-05-06 06:27:32.141
54,3236,2,0.0,0.082,-0.0,0.036,2026-05-06 06:27:32.141
55,3306,1,0.0,0.112,0.0,0.05,2026-05-06 06:27:32.141
56,3363,2,0.0,0.112,-0.0,0.05,2026-05-06 06:27:32.141
57,3421,3,0.0,0.112,0.0,0.049,2026-05-06 06:27:32.141
58,3478,1,0.0,0.112,0.0,0.054,2026-05-06 06:27:32.141
59,3535,2,0.0,0.112,-0.0,0.055,2026-05-06 06:27:32.141
60,3593,3,0.0,0.112,0.0,0.05,2026-05-06 06:27:32.141
61,3650,1,0.0,0.116,0.0,0.054,2026-05-06 06:27:32.141
62,3772,1,0.0,0.152,-0.0,0.08,2026-05-06 06:27:32.141
63,3830,2,0.0,0.152,-0.01,0.081,2026-05-06 06:27:32.141
64,3888,3,0.0,0.152,0.0,0.079,2026-05-06 06:27:32.141
65,3945,1,0.0,0.157,-0.0,0.08,2026-05-06 06:27:32.141
66,4003,2,0.0,0.157,-0.01,0.084,2026-05-06 06:27:32.204
67,4061,3,0.0,0.157,0.0,0.079,2026-05-06 06:27:32.439
68,4118,1,0.0,0.163,0.0,0.082,2026-05-06 06:27:32.439
69,4175,2,0.0,0.163,-0.0,0.084,2026-05-06 06:27:32.439
70,4234,1,0.0,0.196,-0.0,0.116,2026-05-06 06:27:32.439
71,4292,2,0.0,0.196,-0.0,0.12,2026-05-06 06:27:32.439
72,4350,3,0.0,0.196,0.0,0.117,2026-05-06 06:27:32.439
73,4407,1,0.0,0.201,-0.0,0.115,2026-05-06 06:27:32.439
74,4465,2,0.0,0.201,-0.0,0.12,2026-05-06 06:27:32.439
75,4523,3,0.0,0.201,0.0,0.117,2026-05-06 06:27:32.439
76,4580,1,0.0,0.206,-0.0,0.125,2026-05-06 06:27:32.439
77,4638,2,0.0,0.206,-0.0,0.127,2026-05-06 06:27:32.439
78,4696,1,0.0,0.237,-0.0,0.159,2026-05-06 06:27:32.439
79,4754,2,0.0,0.237,-0.0,0.162,2026-05-06 06:27:32.439
80,4812,3,0.0,0.237,0.01,0.158,2026-05-06 06:27:32.439
81,4869,1,0.0,0.242,-0.0,0.159,2026-05-06 06:27:32.439
82,4927,2,0.0,0.242,-0.0,0.162,2026-05-06 06:27:32.439
83,4985,3,0.0,0.242,0.01,0.158,2026-05-06 06:27:32.439
84,5042,1,0.0,0.246,-0.0,0.159,2026-05-06 06:27:32.439
85,5100,2,0.0,0.246,0.0,0.163,2026-05-06 06:27:32.439
86,5158,1,0.0,0.272,-0.0,0.203,2026-05-06 06:27:32.439
87,5217,1,0.0,0.275,-0.0,0.203,2026-05-06 06:27:32.439
88,5275,2,0.0,0.275,0.0,0.21,2026-05-06 06:27:32.439
89,5332,3,0.0,0.275,-0.0,0.203,2026-05-06 06:27:32.439
90,5389,2,0.0,0.272,0.0,0.21,2026-05-06 06:27:32.439
91,5446,3,0.0,0.272,-0.0,0.203,2026-05-06 06:27:32.439
92,5504,1,0.0,0.279,-0.0,0.208,2026-05-06 06:27:32.439
93,5562,2,0.0,0.279,0.0,0.215,2026-05-06 06:27:32.439
94,5630,1,0.0,0.301,-0.0,0.247,2026-05-06 06:27:32.439
95,5688,2,0.0,0.301,0.0,0.256,2026-05-06 06:27:32.439
96,5745,3,0.0,0.301,0.0,0.25,2026-05-06 06:27:32.439
97,5802,1,0.0,0.301,-0.0,0.247,2026-05-06 06:27:32.439
98,5860,2,0.0,0.301,0.0,0.256,2026-05-06 06:27:32.439
99,5917,3,0.0,0.301,0.0,0.25,2026-05-06 06:27:32.439
100,5974,1,0.0,0.303,-0.0,0.249,2026-05-06 06:27:32.439
101,6032,2,0.0,0.303,0.0,0.26,2026-05-06 06:27:32.439
102,6100,1,0.0,0.317,0.0,0.27,2026-05-06 06:27:32.439
103,6157,2,0.0,0.317,-0.0,0.281,2026-05-06 06:27:32.439
104,6215,3,0.0,0.317,0.0,0.276,2026-05-06 06:27:32.439
105,6272,1,0.0,0.319,0.0,0.27,2026-05-06 06:27:32.439
106,6329,2,0.0,0.319,-0.0,0.281,2026-05-06 06:27:32.439
107,6387,3,0.0,0.319,0.0,0.276,2026-05-06 06:27:32.439
108,6444,1,0.0,0.319,0.0,0.27,2026-05-06 06:27:32.439
109,6501,2,0.0,0.319,-0.0,0.281,2026-05-06 06:27:32.439
110,6571,1,0.0,0.332,0.0,0.27,2026-05-06 06:27:32.439
111,6628,2,0.0,0.332,-0.0,0.281,2026-05-06 06:27:32.439
112,6686,3,0.0,0.332,0.0,0.276,2026-05-06 06:27:32.439
113,6743,1,0.0,0.332,0.0,0.27,2026-05-06 06:27:32.439
114,6800,2,0.0,0.332,-0.0,0.281,2026-05-06 06:27:32.439
115,6859,1,0.0,0.333,0.0,0.27,2026-05-06 06:27:32.439
116,6977,3,0.0,0.333,0.0,0.276,2026-05-06 06:27:32.439
117,7044,1,0.0,0.34,-0.0,0.331,2026-05-06 06:27:32.439
118,7102,2,0.0,0.34,-0.0,0.341,2026-05-06 06:27:32.439
119,7160,3,0.0,0.34,-0.0,0.337,2026-05-06 06:27:32.439
120,7218,1,0.0,0.341,-0.0,0.332,2026-05-06 06:27:32.439
121,7276,2,0.0,0.341,-0.0,0.343,2026-05-06 06:27:32.439
122,7334,3,0.0,0.341,-0.0,0.338,2026-05-06 06:27:32.439
123,7392,1,0.0,0.342,-0.0,0.334,2026-05-06 06:27:32.439
124,7450,2,0.0,0.342,-0.0,0.346,2026-05-06 06:27:32.944
125,7518,1,0.0,0.345,-0.0,0.336,2026-05-06 06:27:32.944
126,7576,2,0.0,0.345,-0.0,0.348,2026-05-06 06:27:32.944
127,7634,3,0.0,0.345,-0.01,0.342,2026-05-06 06:27:32.944
128,7692,1,0.0,0.345,-0.0,0.336,2026-05-06 06:27:32.944
129,7750,2,0.0,0.345,-0.0,0.348,2026-05-06 06:27:32.944
130,7808,3,0.0,0.345,-0.01,0.342,2026-05-06 06:27:32.944
131,7866,1,0.0,0.345,-0.0,0.336,2026-05-06 06:27:32.944
132,7924,2,0.0,0.345,-0.0,0.348,2026-05-06 06:27:32.944
133,7991,1,0.0,0.339,-0.0,0.347,2026-05-06 06:27:32.944
134,8049,2,0.0,0.339,-0.0,0.36,2026-05-06 06:27:32.944
135,8107,3,0.0,0.339,0.0,0.355,2026-05-06 06:27:32.944
136,8164,1,0.0,0.339,-0.0,0.347,2026-05-06 06:27:32.944
137,8222,2,0.0,0.339,-0.0,0.36,2026-05-06 06:27:32.944
138,8280,3,0.0,0.339,0.0,0.355,2026-05-06 06:27:32.944
139,8337,1,0.0,0.338,-0.0,0.347,2026-05-06 06:27:32.944
140,8395,2,0.0,0.338,-0.0,0.36,2026-05-06 06:27:32.944
141,8464,1,0.0,0.329,-0.0,0.347,2026-05-06 06:27:32.944
142,8522,2,0.0,0.329,-0.0,0.36,2026-05-06 06:27:32.944
143,8580,3,0.0,0.329,0.0,0.355,2026-05-06 06:27:32.944
144,8637,1,0.0,0.327,-0.0,0.347,2026-05-06 06:27:32.944
145,8695,2,0.0,0.327,-0.0,0.36,2026-05-06 06:27:32.944
146,8753,3,0.0,0.327,0.0,0.355,2026-05-06 06:27:32.944
147,8810,1,0.0,0.327,-0.0,0.347,2026-05-06 06:27:32.944
148,8868,2,0.0,0.327,-0.0,0.36,2026-05-06 06:27:32.944
