idx,char_pos,w,cmdA,cmdV,fbA,fbV,ts
0,49,1,-50.77,0.0,-1.79,0.0,2026-05-06 15:21:59.527
1,109,2,50.77,0.0,1.82,-0.0,2026-05-06 15:21:59.527
2,168,3,-90.0,0.0,-1.63,0.0,2026-05-06 15:21:59.527
3,274,1,-50.77,0.0,-2.3,0.0,2026-05-06 15:21:59.527
4,334,2,50.77,0.0,2.35,0.0,2026-05-06 15:21:59.527
5,392,3,-90.0,0.0,-2.09,-0.001,2026-05-06 15:21:59.527
6,514,1,-50.77,0.0,-6.54,-0.0,2026-05-06 15:21:59.527
7,575,2,50.77,0.0,6.44,-0.0,2026-05-06 15:21:59.527
8,634,3,-90.0,0.0,-6.13,-0.0,2026-05-06 15:21:59.527
9,741,1,-50.77,0.0,-8.28,-0.0,2026-05-06 15:21:59.527
10,802,2,50.77,0.0,8.23,-0.0,2026-05-06 15:21:59.527
11,861,3,-90.0,0.0,-8.07,-0.0,2026-05-06 15:21:59.527
12,981,1,-50.77,0.0,-16.35,-0.0,2026-05-06 15:21:59.527
13,1043,2,50.77,0.0,16.25,-0.0,2026-05-06 15:21:59.527
14,1103,3,-90.0,0.0,-15.72,-0.0,2026-05-06 15:21:59.527
15,1211,1,-50.77,0.0,-19.16,0.0,2026-05-06 15:21:59.527
16,1272,2,50.77,0.0,19.11,0.0,2026-05-06 15:21:59.527
17,1331,3,-90.0,0.0,-18.7,0.0,2026-05-06 15:21:59.527
18,1451,1,-50.77,0.0,-30.63,-0.0,2026-05-06 15:21:59.527
19,1513,2,50.77,0.0,30.26,-0.0,2026-05-06 15:21:59.527
20,1573,3,-90.0,0.0,-30.03,-0.0,2026-05-06 15:21:59.527
21,1681,1,-50.77,0.0,-33.59,0.0,2026-05-06 15:21:59.527
22,1742,2,50.77,0.0,33.52,-0.0,2026-05-06 15:21:59.527
23,1802,3,-90.0,0.0,-34.11,-0.0,2026-05-06 15:21:59.527
24,1921,1,-50.77,0.0,-41.87,-0.0,2026-05-06 15:21:59.527
25,1983,2,50.77,0.0,41.79,0.0,2026-05-06 15:21:59.527
26,2042,3,-90.0,0.0,-48.92,0.0,2026-05-06 15:21:59.527
27,2149,1,-50.77,0.0,-41.87,-0.0,2026-05-06 15:21:59.527
28,2211,2,50.77,0.0,41.79,0.0,2026-05-06 15:21:59.527
29,2270,3,-90.0,0.0,-48.92,0.0,2026-05-06 15:21:59.527
30,2343,1,-50.77,0.0,-46.68,-0.0,2026-05-06 15:21:59.527
31,2405,2,50.77,0.0,46.71,0.0,2026-05-06 15:21:59.527
32,2464,3,-90.0,0.0,-61.32,0.0,2026-05-06 15:21:59.527
33,2571,1,-50.77,0.0,-48.56,-0.001,2026-05-06 15:21:59.527
34,2633,2,50.77,0.0,48.42,0.0,2026-05-06 15:21:59.527
