idx,char_pos,w,cmdA,cmdV,fbA,fbV,ts
0,40,3,-0.0,0.0,0.0,-0.0,2026-05-06 18:23:44.985
1,161,1,-0.0,0.0,-0.0,-0.0,2026-05-06 18:23:44.985
2,221,2,0.02,0.0,0.02,-0.0,2026-05-06 18:23:44.985
3,279,3,-0.0,0.0,-0.0,-0.0,2026-05-06 18:23:44.985
4,385,1,-0.0,0.0,0.0,-0.0,2026-05-06 18:23:44.985
5,444,2,0.02,0.0,0.02,0.0,2026-05-06 18:23:44.985
6,501,3,-0.0,0.0,-0.01,-0.0,2026-05-06 18:23:44.985
7,656,1,-0.0,0.0,-0.0,-0.0,2026-05-06 18:23:44.985
8,716,2,0.02,0.0,0.02,0.0,2026-05-06 18:23:44.985
9,773,3,-0.0,0.0,-0.0,-0.0,2026-05-06 18:23:44.985
10,879,1,-0.0,0.0,-0.0,-0.0,2026-05-06 18:23:44.985
11,939,2,0.02,0.0,0.02,0.0,2026-05-06 18:23:44.985
12,1023,3,-0.0,0.0,0.0,0.0,2026-05-06 18:23:44.985
13,1195,1,0.01,0.0,0.0,0.0,2026-05-06 18:23:44.985
14,1252,2,0.0,0.0,0.0,0.0,2026-05-06 18:23:44.985
15,1530,1,0.01,0.0,0.01,0.0,2026-05-06 18:23:45.235
16,1769,1,0.01,0.0,0.0,0.0,2026-05-06 18:23:45.235
17,1826,2,0.0,0.0,0.0,0.0,2026-05-06 18:23:45.235
18,1883,3,-0.0,0.0,-0.01,-0.0,2026-05-06 18:23:45.235
19,1989,1,0.01,0.0,0.0,0.0,2026-05-06 18:23:45.235
20,2227,1,0.01,0.0,0.01,0.0,2026-05-06 18:23:45.235
21,2284,2,0.0,0.0,0.0,0.0,2026-05-06 18:23:45.235
22,2341,3,-0.0,0.0,0.0,0.0,2026-05-06 18:23:45.235
23,2445,1,0.01,0.0,0.01,0.0,2026-05-06 18:23:45.235
24,2571,1,0.01,0.0,0.0,0.0,2026-05-06 18:23:45.235
25,2628,2,0.0,0.0,0.0,0.0,2026-05-06 18:23:45.235
26,2685,3,-0.0,0.0,-0.0,0.0,2026-05-06 18:23:45.235
27,2903,1,0.01,0.0,0.01,0.0,2026-05-06 18:23:45.235
28,3141,1,0.01,0.0,0.01,0.0,2026-05-06 18:23:45.235
29,3198,2,0.0,0.0,0.0,0.0,2026-05-06 18:23:45.235
30,3255,3,-0.0,0.0,-0.0,0.0,2026-05-06 18:23:45.235
31,3360,1,0.01,0.0,0.01,0.0,2026-05-06 18:23:45.235
32,3599,1,0.01,0.0,0.01,0.0,2026-05-06 18:23:45.235
33,3656,2,0.0,0.0,0.0,0.0,2026-05-06 18:23:45.235
34,3713,3,-0.0,0.0,-0.0,0.0,2026-05-06 18:23:45.235
35,3818,1,0.01,0.0,0.01,0.0,2026-05-06 18:23:45.235
36,4059,1,0.01,0.0,0.01,0.0,2026-05-06 18:23:45.235
37,4116,2,0.0,0.0,0.0,0.0,2026-05-06 18:23:45.235
38,4173,3,-0.0,0.0,-0.0,0.0,2026-05-06 18:23:45.235
39,4407,1,0.01,0.0,0.01,0.0,2026-05-06 18:23:45.269
40,4464,2,0.0,0.0,0.0,0.0,2026-05-06 18:23:45.269
41,4521,3,-0.0,0.0,-0.0,0.0,2026-05-06 18:23:45.269
42,4739,1,0.01,0.0,0.01,0.0,2026-05-06 18:23:45.269
43,4864,1,0.01,0.0,0.0,0.0,2026-05-06 18:23:45.406
44,4921,2,0.0,0.0,0.0,0.0,2026-05-06 18:23:45.406
45,4978,3,-0.0,0.0,-0.0,0.0,2026-05-06 18:23:45.406
46,5196,1,0.01,0.0,0.0,0.0,2026-05-06 18:23:45.406
47,5435,1,0.01,0.0,0.0,0.0,2026-05-06 18:23:45.406
48,5492,2,0.0,0.0,0.0,0.0,2026-05-06 18:23:45.406
49,5549,3,-0.0,0.0,-0.01,0.0,2026-05-06 18:23:45.406
50,5654,1,0.01,0.0,0.0,0.0,2026-05-06 18:23:45.406
51,5784,1,0.01,0.0,0.01,0.0,2026-05-06 18:23:45.406
52,5841,2,0.0,0.0,0.0,0.0,2026-05-06 18:23:45.406
53,5898,3,-0.0,0.0,-0.0,0.0,2026-05-06 18:23:45.406
54,6119,1,0.01,0.0,0.01,0.0,2026-05-06 18:23:45.406
55,6384,1,0.01,0.0,0.01,0.0,2026-05-06 18:23:45.444
56,6441,2,0.0,0.0,0.0,0.0,2026-05-06 18:23:45.444
57,6498,3,-0.0,0.0,-0.0,0.0,2026-05-06 18:23:45.444
58,6603,1,0.01,0.0,0.0,0.0,2026-05-06 18:23:45.444
59,6844,1,0.01,0.0,0.0,0.0,2026-05-06 18:23:45.502
60,6901,2,0.0,0.0,0.0,0.0,2026-05-06 18:23:45.502
61,6958,3,-0.0,0.0,-0.0,0.0,2026-05-06 18:23:45.502
62,7063,1,0.01,0.0,0.0,0.0,2026-05-06 18:23:45.502
63,7302,1,0.01,0.0,0.01,0.0,2026-05-06 18:23:45.502
