idx,char_pos,w,cmdA,cmdV,fbA,fbV,ts
0,43,3,-0.0,0.0,-0.0,0.0,2026-05-06 16:03:25.535
1,149,1,0.0,-0.001,0.0,0.0,2026-05-06 16:03:25.535
2,207,2,0.0,-0.001,0.0,0.0,2026-05-06 16:03:25.535
3,265,3,0.0,-0.001,-0.0,0.0,2026-05-06 16:03:25.535
4,390,1,0.0,-0.006,0.0,-0.001,2026-05-06 16:03:25.535
5,449,2,0.0,-0.006,0.0,-0.001,2026-05-06 16:03:25.535
6,508,3,0.0,-0.006,0.0,-0.001,2026-05-06 16:03:25.535
7,614,1,0.0,-0.007,0.0,-0.001,2026-05-06 16:03:25.535
8,673,2,0.0,-0.007,0.0,-0.001,2026-05-06 16:03:25.535
9,732,3,0.0,-0.007,0.0,-0.001,2026-05-06 16:03:25.535
10,854,1,0.0,-0.013,0.0,-0.002,2026-05-06 16:03:25.535
11,913,2,0.0,-0.013,-0.0,-0.003,2026-05-06 16:03:25.535
12,973,3,0.0,-0.013,0.0,-0.002,2026-05-06 16:03:25.535
13,1079,1,0.0,-0.015,0.0,-0.002,2026-05-06 16:03:25.535
14,1138,2,0.0,-0.015,0.0,-0.003,2026-05-06 16:03:25.535
15,1197,3,0.0,-0.015,0.0,-0.002,2026-05-06 16:03:25.535
16,1318,1,0.0,-0.022,-0.0,-0.004,2026-05-06 16:03:25.535
17,1378,2,0.0,-0.022,0.0,-0.005,2026-05-06 16:03:25.535
18,1437,3,0.0,-0.022,0.0,-0.005,2026-05-06 16:03:25.535
19,1543,1,0.0,-0.024,0.0,-0.004,2026-05-06 16:03:25.535
20,1602,2,0.0,-0.024,0.0,-0.005,2026-05-06 16:03:25.535
21,1661,3,0.0,-0.024,0.0,-0.006,2026-05-06 16:03:25.535
22,1783,1,0.0,-0.036,0.0,-0.015,2026-05-06 16:03:25.535
23,1842,2,0.0,-0.036,0.0,-0.015,2026-05-06 16:03:25.535
24,1901,3,0.0,-0.036,0.0,-0.015,2026-05-06 16:03:25.535
25,2007,1,0.0,-0.038,0.0,-0.015,2026-05-06 16:03:25.535
26,2066,2,0.0,-0.038,0.0,-0.015,2026-05-06 16:03:25.535
27,2125,3,0.0,-0.038,0.0,-0.015,2026-05-06 16:03:25.535
28,2247,1,0.0,-0.056,0.0,-0.027,2026-05-06 16:03:25.535
29,2306,2,0.0,-0.056,-0.0,-0.027,2026-05-06 16:03:25.535
30,2366,3,0.0,-0.056,0.0,-0.026,2026-05-06 16:03:25.535
31,2472,1,0.0,-0.058,0.0,-0.027,2026-05-06 16:03:25.535
32,2531,2,0.0,-0.058,-0.0,-0.027,2026-05-06 16:03:25.535
