mode,start,end,duration_samples,peak_vx,peak_vy,peak_vw
rotate,0,109,110,0.0,0.0,0.2
idle,110,175,66,0.001,0.0,0.0006
forward,176,279,104,0.35,0.0,0.0
idle,280,300,21,0.0047,0.0,0.0
forward,301,517,217,0.35,0.0,0.0
idle,518,541,24,0.0007,0.0,0.0
rotate,542,591,50,0.0,0.0,0.2
idle,592,597,6,0.0016,0.0,0.0
forward,598,712,115,0.35,0.0,0.0
idle,713,738,26,0.0001,0.0,0.001
rotate,739,852,114,0.0027,0.0,0.2
compound,853,860,8,0.0404,0.0,0.0517
forward,861,999,139,0.35,0.0,0.0023
idle,1000,5038,4039,0.001,0.0,0.0
forward,5039,5092,54,0.3483,0.0,0.0
idle,5093,5097,5,0.0021,0.0,0.0
forward,5098,5189,92,0.35,0.0,0.0
idle,5190,5244,55,0.0047,0.0,0.0
forward,5245,5394,150,0.35,0.0,0.0
idle,5395,5507,113,0.0007,0.0,0.0044
rotate,5508,5657,150,0.0,0.0,0.2
idle,5658,5704,47,0.0027,0.0,0.0043
forward,5705,5834,130,0.35,0.0,0.0
idle,5835,6366,532,0.0045,0.0,0.001
rotate,6367,6534,168,0.0,0.0,0.2
idle,6535,6552,18,0.0034,0.0,0.0043
forward,6553,6578,26,0.315,0.0,0.0029
compound,6579,6592,14,0.35,0.0,0.0758
compound,6593,6632,40,0.35,0.0,0.2
forward,6633,6658,26,0.35,0.0,0.0021
idle,6659,6728,70,0.0027,0.0034,0.0
translate,6729,6847,119,0.0,0.1,0.0
idle,6848,6867,20,0.004,0.0024,0.0
forward,6868,6919,52,0.3457,0.0,0.0
idle,6920,6959,40,0.0022,0.0,0.0016
rotate,6960,7019,60,0.0,0.0,0.2
idle,7020,7029,10,0.0034,0.0,0.0006
forward,7030,7113,84,0.35,0.0,0.0
idle,7114,7183,70,0.0045,0.0,0.0016
rotate,7184,7253,70,0.0,0.0,0.2
idle,7254,7267,14,0.0027,0.0,0.0021
forward,7268,7359,92,0.35,0.0,0.0
idle,7360,7408,49,0.0021,0.0,0.0
forward,7409,7505,97,0.35,0.0,0.0
idle,7506,7585,80,0.0001,0.0025,0.0
translate,7586,7657,72,0.0,0.1,0.0
idle,7658,7681,24,0.0,0.0,0.0016
rotate,7682,7822,141,0.0,0.0,0.2
idle,7823,7832,10,0.0034,0.0,0.0
forward,7833,7902,70,0.35,0.0,0.0
idle,7903,8754,852,0.002,0.0,0.0022
rotate,8755,8790,36,0.0,0.0,0.2
idle,8791,8798,8,0.0,0.0,0.0044
rotate,8799,8861,63,0.0054,0.0,0.2
forward,8862,8923,62,0.35,0.0,0.0
idle,8924,9150,227,0.0,0.0,0.001
rotate,9151,9202,52,0.0,0.0,0.2
idle,9203,9206,4,0.0047,0.0,0.0
forward,9207,9305,99,0.35,0.0,0.0
idle,9306,9470,165,0.0007,0.0,0.0029
rotate,9471,9521,51,0.0,0.0,0.2
idle,9522,9551,30,0.0,0.0,0.0043
rotate,9552,9597,46,0.0,0.0,0.2
idle,9598,9605,8,0.0,0.0,0.0043
rotate,9606,9644,39,0.0,0.0,0.2
idle,9645,9647,3,0.0047,0.0,0.0
forward,9648,9758,111,0.35,0.0,0.0
idle,9759,9868,110,0.0013,0.0,0.0037
rotate,9869,9913,45,0.0,0.0,0.2
rotate,9914,9920,7,0.0054,0.0,0.175
forward,9921,10047,127,0.35,0.0,0.0021
idle,10048,10280,233,0.0013,0.0,0.0044
rotate,10281,10328,48,0.0,0.0,0.2
idle,10329,10349,21,0.0,0.0,0.0021
rotate,10350,10411,62,0.0,0.0,0.2
idle,10412,10494,83,0.0,0.0,0.001
rotate,10495,10544,50,0.0054,0.0,0.2
forward,10545,10630,86,0.35,0.0,0.0043
idle,10631,10725,95,0.0,0.0,0.0044
rotate,10726,10745,20,0.0,0.0,0.2
rotate,10746,10809,64,0.0,0.0,0.2
rotate,10810,10813,4,0.0047,0.0,0.0308
forward,10814,10934,121,0.35,0.0,0.0
idle,10935,10991,57,0.0,0.0,0.001
