mode,start,end,duration_samples,peak_vx,peak_vy,peak_vw
idle,0,34,35,0.0,0.0,0.0016
rotate,35,141,107,0.0027,0.0,0.2
forward,142,270,129,0.35,0.0,0.0
idle,271,318,48,0.0007,0.0,0.0016
rotate,319,425,107,0.0027,0.0,0.2
forward,426,554,129,0.35,0.0,0.0
idle,555,576,22,0.3462,0.0,0.0555
compound,577,584,8,0.0313,0.0,0.0335
compound,585,588,4,0.1173,0.0,0.0187
forward,589,594,6,0.1022,0.0,0.0
idle,595,605,11,0.004,0.0,0.0
forward,606,631,26,0.291,0.0,0.0016
compound,632,637,6,0.1234,0.0,0.0572
rotate,638,683,46,0.0086,0.0,0.2
forward,684,695,12,0.152,0.0,0.0031
forward,696,792,97,0.35,0.0,0.0029
compound,793,797,5,0.0649,0.0,0.0417
rotate,798,834,37,0.0086,0.0,0.2
forward,835,929,95,0.35,0.0,0.0029
compound,930,934,5,0.0611,0.0,0.0417
rotate,935,1004,70,0.0029,0.0,0.2
idle,1005,1018,14,0.0034,0.0,0.0013
forward,1019,1031,13,0.1211,0.0,0.0
forward,1032,1084,53,0.35,0.0,0.0
idle,1085,1087,3,0.0045,0.0,0.0
forward,1088,1119,32,0.2718,0.0,0.0044
rotate,1120,1191,72,0.0003,0.0,0.2
idle,1192,1200,9,0.0027,0.0,0.0
forward,1201,1272,72,0.35,0.0,0.0
forward,1273,1344,72,0.35,0.0,0.0
idle,1345,1374,30,0.0027,0.0017,0.0
translate,1375,1397,23,0.0,0.1,0.0
idle,1398,1417,20,0.0047,0.0003,0.0
forward,1418,1452,35,0.3112,0.0,0.0
idle,1453,2243,791,0.003,0.0,0.0
