mode,start,end,duration_samples,peak_vx,peak_vy,peak_vw
idle,0,0,1,0.001,0.0,0.0
forward,1,54,54,0.3483,0.0,0.0
idle,55,59,5,0.0021,0.0,0.0
forward,60,151,92,0.35,0.0,0.0
idle,152,206,55,0.0047,0.0,0.0
forward,207,356,150,0.35,0.0,0.0
idle,357,469,113,0.0007,0.0,0.0044
rotate,470,619,150,0.0,0.0,0.2
idle,620,666,47,0.0027,0.0,0.0043
forward,667,796,130,0.35,0.0,0.0
idle,797,1328,532,0.0045,0.0,0.001
rotate,1329,1496,168,0.0,0.0,0.2
idle,1497,1514,18,0.0034,0.0,0.0043
forward,1515,1540,26,0.315,0.0,0.0029
compound,1541,1554,14,0.35,0.0,0.0758
compound,1555,1594,40,0.35,0.0,0.2
forward,1595,1620,26,0.35,0.0,0.0021
idle,1621,1690,70,0.0027,0.0034,0.0
translate,1691,1809,119,0.0,0.1,0.0
idle,1810,1829,20,0.004,0.0024,0.0
forward,1830,1881,52,0.3457,0.0,0.0
idle,1882,1921,40,0.0022,0.0,0.0016
rotate,1922,1981,60,0.0,0.0,0.2
idle,1982,1991,10,0.0034,0.0,0.0006
forward,1992,2075,84,0.35,0.0,0.0
idle,2076,2145,70,0.0045,0.0,0.0016
rotate,2146,2215,70,0.0,0.0,0.2
idle,2216,2229,14,0.0027,0.0,0.0021
forward,2230,2321,92,0.35,0.0,0.0
idle,2322,2370,49,0.0021,0.0,0.0
forward,2371,2467,97,0.35,0.0,0.0
idle,2468,2547,80,0.0001,0.0025,0.0
translate,2548,2619,72,0.0,0.1,0.0
idle,2620,2643,24,0.0,0.0,0.0016
rotate,2644,2784,141,0.0,0.0,0.2
idle,2785,2794,10,0.0034,0.0,0.0
forward,2795,2864,70,0.35,0.0,0.0
idle,2865,3150,286,0.002,0.0,0.0
